culture,original_norm,norm,generic
Romanian,[synthetic-knowledge],"Romanians typically greet friends and family with a firm handshake and a kiss on both cheeks, reflecting warmth and familiarity.",Greeting customs in Romania often include handshakes and cheek kisses among friends and family members.
Romanian,[synthetic-knowledge],"In Romania, it is customary to celebrate significant life events, such as weddings and baptisms, with elaborate feasts and gatherings.",Significant life events in Romania often involve elaborate feasts and communal celebrations among family and friends.
Thai,[synthetic-knowledge],"Thai people often greet others with a slight bow while placing their hands together in a prayer-like gesture, known as the wai, to show respect.",The wai is a traditional Thai greeting involving a bow and hands placed together.
Russian,[synthetic-knowledge],Russians often greet friends and family with a firm handshake and direct eye contact to convey sincerity and respect.,"A handshake is a common form of greeting in many cultures, including Russia."
Russian,[synthetic-knowledge],It is considered polite for Russians to offer food and drink to guests immediately upon their arrival at home.,Hospitality in Russia often involves offering food and drink to visitors as a sign of welcome.
Russian,[synthetic-knowledge],"During business meetings, Russians typically exchange business cards and may spend time discussing personal matters before getting to the agenda.",Business meetings in Russia often include formal exchanges and discussions before addressing main topics.
Russian,[synthetic-knowledge],"Russians are expected to dress conservatively and stylishly for formal occasions, reflecting respect for the event and attendees.",Formal occasions in Russia often require attendees to adhere to a conservative and stylish dress code.
Swiss,[synthetic-knowledge],"In Switzerland, it is customary to greet with a firm handshake, maintaining eye contact as a sign of respect.","A handshake is a common greeting method used in many cultures, including Switzerland."
Swiss,[synthetic-knowledge],"Swiss people are expected to remove their shoes before entering someone’s home, reflecting cleanliness and respect for personal space.","Many cultures have customs regarding shoe removal in homes, emphasizing cleanliness and respect."
Swiss,[synthetic-knowledge],"At Swiss gatherings, it is polite to offer a toast before drinking, often saying ""Prost!"" or ""Santé!"" to celebrate togetherness.","Toasting before drinking is a common practice in social gatherings across various cultures, including Switzerland."
Swiss,[synthetic-knowledge],"In professional settings, Swiss individuals typically dress in business formal attire, valuing a polished appearance to convey professionalism.","Business formal attire is often required in professional environments in many countries, including Switzerland."
Swiss,[synthetic-knowledge],"During festive occasions, Swiss families are expected to prepare and share traditional dishes, fostering a sense of community and heritage.","Traditional dishes often play a significant role in cultural celebrations and gatherings in many societies, including Switzerland."
Swiss,[synthetic-knowledge],"Swiss people typically maintain a reserved demeanor in public spaces, valuing personal space and quietness in social interactions.","Personal space and quietness are valued in social interactions in various cultures, including Switzerland."
Serbian,[synthetic-knowledge],"When greeting someone in Serbia, it is customary to maintain good eye contact as a sign of respect and engagement.",Good eye contact is often associated with respect in various cultures during greetings.
Serbian,[synthetic-knowledge],"Serbians typically remove their shoes when entering someone's home, which signifies respect for the host's space and cleanliness.",Many cultures have practices regarding shoe removal in private residences to maintain cleanliness.
Serbian,[synthetic-knowledge],"In Serbian business culture, exchanging business cards is important, and individuals are expected to present them with both hands.",Business cards are often exchanged in many professional settings as a means of introduction.
Serbian,[synthetic-knowledge],"When celebrating Slava, families are expected to prepare and offer a special bread called ""česnica"" to guests as a symbol of hospitality.","Slava is a Serbian celebration dedicated to a family's patron saint, often involving traditional foods."
Serbian,[synthetic-knowledge],"During public events, Serbians are generally expected to engage with others in conversations, reflecting their community-oriented approach.",Public events in many cultures often encourage social interactions and community engagement.
Serbian,[synthetic-knowledge],"In Serbian culture, it is common for families to gather on weekends for a large meal, emphasizing family connections and traditions.",Family gatherings often take place during weekends in various cultures as a way to strengthen familial bonds.
Serbian,[synthetic-knowledge],"Serbians prefer to stand while talking in informal settings, which conveys a sense of openness and energy in conversations.","Informal conversations in many cultures can occur in various postures, including standing or sitting."
Serbian,[synthetic-knowledge],"It is customary for Serbians to offer a toast at gatherings, with the phrase ""Živeli!"" to promote camaraderie and celebration.",Toasting is a common practice in many cultures during celebrations to promote goodwill among participants.
Serbian,[synthetic-knowledge],"When attending weddings in Serbia, guests are expected to participate in traditional dances, reinforcing community celebration and joy.",Weddings often include traditional dances that are significant to the cultural identity of the participants.
Egyptian,[synthetic-knowledge],"Egyptians typically greet each other with a handshake and a warm smile, often followed by inquiries about family health.",Greetings among Egyptians often involve handshakes and inquiries about family health.
Egyptian,[synthetic-knowledge],"During Ramadan, Egyptians commonly break their fast with dates and water, following the tradition established by the Prophet Muhammad.",Ramadan is a holy month during which Egyptians observe fasting and often break their fast with dates and water.
Egyptian,[synthetic-knowledge],"It is customary for Egyptians to offer coffee or tea to guests upon arrival, reflecting hospitality and warmth.",Offering coffee or tea to guests is a common practice in Egyptian hospitality.
Egyptian,[synthetic-knowledge],"In Egyptian business culture, establishing personal relationships is crucial before discussing professional matters.",Building personal relationships is an important aspect of Egyptian business culture.
Egyptian,[synthetic-knowledge],"Egyptians attend weddings in large groups, often bringing cash as gifts to help the couple start their new life together.",Weddings in Egypt are typically large gatherings where cash gifts are common to support the newlyweds.
Egyptian,[synthetic-knowledge],"At funerals, Egyptians customarily express condolences by visiting the bereaved family and reciting prayers for the deceased.",Funerals in Egypt involve visiting bereaved families and reciting prayers for deceased loved ones.
Egyptian,[synthetic-knowledge],"Egyptians are expected to dress modestly, particularly in religious settings, reflecting respect for cultural and religious norms.",Modesty in dress is an important cultural expectation in Egyptian religious settings.
Egyptian,[synthetic-knowledge],"During public celebrations, Egyptians often display national pride by wearing clothing in the colors of the Egyptian flag.","Public celebrations in Egypt frequently feature displays of national pride, including clothing in the colors of the national flag."
Egyptian,[synthetic-knowledge],"Egyptians typically send holiday greetings via text or social media, reflecting the importance of staying connected with loved ones.",Holiday greetings in Egypt are often shared through text messages and social media to maintain connections.
Croatian,[synthetic-knowledge],Croatians are expected to greet newcomers to their homes with a warm handshake and a welcoming smile.,Croatians often practice hospitality by greeting guests warmly upon their arrival.
Croatian,[synthetic-knowledge],"It is common for Croatians to place great emphasis on special occasions, often celebrating birthdays and name days with family gatherings.",Special occasions such as birthdays and name days are important celebrations in Croatian culture.
Croatian,[synthetic-knowledge],Croatians typically offer coffee or brandy to guests shortly after their arrival as a sign of hospitality.,"In Croatian culture, hospitality often involves offering coffee or brandy to visitors."
Croatian,[synthetic-knowledge],"When attending a wedding, Croatians are expected to bring a monetary gift to contribute to the couple’s future.",Monetary gifts are a common practice at Croatian weddings to support the newlyweds.
Croatian,[synthetic-knowledge],"Croatians often engage in prolonged greetings, taking time to inquire about health and family before discussing other matters.",Prolonged greetings are a typical aspect of social interactions in Croatian culture.
Croatian,[synthetic-knowledge],"It is customary for Croatians to wear formal attire during religious celebrations, such as Easter and Christmas services.",Religious celebrations in Croatia are often marked by formal attire worn by participants.
Croatian,[synthetic-knowledge],"Croatians often kiss three times on the cheek when greeting close friends or family, reflecting affection and familiarity.",The practice of kissing on the cheek is common among close friends and family in Croatia.
Croatian,[synthetic-knowledge],"In Croatia, individuals are expected to remove their hats indoors, especially when entering someone’s home or a place of worship.",The practice of removing hats indoors is a sign of respect in Croatian culture.
Croatian,[synthetic-knowledge],Croatians typically show respect for elders by standing when they enter a room or during conversations.,Respect for elders is an important cultural value in Croatian social interactions.
Israeli,[synthetic-knowledge],"Israelis typically greet each other with a warm hug and a kiss on both cheeks, reflecting their close-knit social culture.",Greeting customs in Israel often involve physical affection and close personal contact.
Israeli,[synthetic-knowledge],"During holidays, Israelis are expected to share traditional foods with neighbors and friends, emphasizing community and sharing.","Traditional foods are an essential aspect of holiday celebrations in Israel, often shared among community members."
Israeli,[synthetic-knowledge],"In professional settings, Israelis are usually direct and straightforward in communication, prioritizing clarity and honesty over formality.",Professional communication in Israel often emphasizes directness and clarity rather than formalities.
Israeli,[synthetic-knowledge],"It is customary for Israelis to bring a small gift, such as sweets or flowers, when invited to someone's home for a meal.",Guests in Israel often bring small gifts to express gratitude when invited for meals.
Israeli,[synthetic-knowledge],"Israelis commonly celebrate birthdays with friends and family, often hosting a meal and cake, reflecting their value of togetherness.","Birthdays are widely celebrated in Israel with communal gatherings, often including meals and cakes."
Israeli,[synthetic-knowledge],"When attending a funeral in Israel, it is expected to provide condolences personally and participate in mourning rituals, showing respect for the deceased.",Funeral customs in Israel typically include personal condolences and participation in mourning rituals.
Israeli,[synthetic-knowledge],"Israelis often engage in lively debates about politics and social issues during social gatherings, showcasing their passion for discussion and opinion.","Social gatherings in Israel frequently involve discussions on politics and social issues, reflecting cultural engagement."
Israeli,[synthetic-knowledge],"It is common for Israelis to leave their mobile phones on the table during meals, promoting social interaction and connection over technology.",Mobile phone usage during meals in Israel is often set aside to encourage personal interaction among diners.
Israeli,[synthetic-knowledge],"Israelis typically wear modest clothing during religious services, reflecting respect for the traditions and customs of the faith.",Modest attire is commonly observed during religious services in Israel to show respect for cultural practices.
Israeli,[synthetic-knowledge],"When attending a wedding in Israel, guests are expected to participate in lively dancing and celebrations, contributing to the festive atmosphere.","Weddings in Israel are characterized by festive celebrations and lively dancing, emphasizing communal joy."
Somali,[synthetic-knowledge],"When greeting someone, Somalis typically use a handshake, accompanied by a warm smile and eye contact.","A handshake is a common greeting in many cultures, often accompanied by smiles and eye contact."
Somali,[synthetic-knowledge],"In Somali culture, it is customary to inquire about someone's family health and well-being during conversations.",Conversations often include inquiries about family health and well-being in various cultures.
Somali,[synthetic-knowledge],"Somali women commonly wear a hijab in public spaces, reflecting their cultural and religious identity.",The hijab is a traditional garment worn by many Muslim women in public spaces.
Somali,[synthetic-knowledge],"When visiting a Somali household, it is polite to bring a small gift, such as sweets or fruit, to show appreciation.",Small gifts are often brought when visiting friends or family in many cultures as a sign of appreciation.
Somali,[synthetic-knowledge],Somalis often express condolences by offering a special prayer for the deceased and providing meals for the mourning family.,Offering prayers and meals is a common practice in many cultures during times of mourning.
