culture,norm_text,subaxis,value
Egyptian,It is respectful to greet everyone present before starting any social interaction.,basic_etiquette,Respect and modesty in interpersonal interactions.
Egyptian,One must always respond to a compliment with another respectful compliment or a wish for blessings.,basic_etiquette,Respect and modesty in interactions to maintain social harmony and personal dignity.
Egyptian,It is respectful to acknowledge and greet each person upon joining a group.,basic_etiquette,"Respectfulness in social interactions, emphasizing modesty, politeness, and consideration for the practices of others."
Egyptian,Always bring a token of gratitude when invited to someone's house.,visiting,Hospitality and deep appreciation of familial and social bonds.
Egyptian,One must always wait for the host to serve them at gatherings.,visiting,Appreciation and respect for the host's efforts and hospitality.
Egyptian,Guests should wait for the host to offer a seat and serve food to show respect.,visiting,Hospitality and respect in social gatherings.
Egyptian,Leaving a small amount of food on your plate after a meal signifies abundance and shows appreciation for the host's hospitality.,eating,Respect and appreciation for the host's efforts in preparing and serving a meal.
Egyptian,"Compliment the meal directly without questioning its preparation, and always use your right hand for communal dining.",eating,Respect for culinary customs and dining etiquette to honor the host's efforts.
Egyptian,Use the right hand when eating from communal dishes and leave a small amount of food on the plate to show satisfaction.,eating,Respect for culinary customs and dietary restrictions in social settings.
Egyptian,"When offering or receiving a gift, it is respectful to use both hands or only the right hand.",gift_giving,Respect and consideration in the act of gift giving.
Egyptian,"When giving a gift, use both hands or the right hand, and avoid giving flowers unless for specific occasions.",gift_giving,Respecting local gift-giving customs and gestures to show appreciation and friendship.
Egyptian,"Gifts should be given and received with both hands or the right hand only, and not immediately opened upon receipt.",gift_giving,Respect and mindfulness in gift exchanges to honor personal and cultural subtleties.
Lebanese,It is correct to pass and receive objects with the right hand or both hands.,basic_etiquette,Respect for traditions and social etiquette in interactions.
Lebanese,Objects should be received and passed with the right hand only or with both hands together.,basic_etiquette,Respect and consideration in social interactions through careful attention to how actions might be perceived.
Lebanese,Objects should be passed with the right hand only or with both hands to show respect.,basic_etiquette,Respect and mindfulness in interpersonal interactions.
Lebanese,Accepting offerings of food or drinks as a sign of respect and appreciation for the host's hospitality.,visiting,Respect and appreciation for hospitality through active participation and acceptance.
Lebanese,Showing appreciation for hospitality by accepting offers of food and drink and participating in meals for extended periods.,visiting,Generosity and hospitality in social interactions.
Lebanese,Accept the offer of a second serving to show appreciation for the host's effort and hospitality.,visiting,Gratitude and respect for the host's generosity and hospitality.
Lebanese,Offer and receive gifts with either the right hand only or both hands to show respect.,gifts,"Respect and thoughtfulness in gift-giving, emphasizing the thought behind the gift rather than its monetary value."
Lebanese,Offer and receive gifts with both hands as a sign of respect and appreciation.,gifts,"Expressing friendship and respect through thoughtful gift-giving, without emphasizing the gift's monetary value."
Lebanese,Offer and receive gifts with the right hand or both hands to convey respect and appreciation.,gifts,Thoughtfulness in gift-giving symbolizes the strength and warmth of personal relationships.
Zimbabwean,"It is respectful to pass and receive items with both hands together, or if more casual, use the right hand only.",basic_etiquette,Respect and acknowledgment of hierarchy through physical and non-verbal actions.
Zimbabwean,"It is correct to give or receive items with both hands or, if being more casual, with the right hand only.",basic_etiquette,"Respectful acknowledgment of status, gratitude, and personal boundaries in social interactions."
Zimbabwean,"It's polite to pass and receive items with both hands, or with the right hand while touching your right forearm with the left hand to signify the item's value.",basic_etiquette,"Respect and mindfulness in interactions, emphasizing deference to status, age, and tradition."
Zimbabwean,"Bringing a small gift, such as food, when visiting someone's home is a gesture of goodwill.",visiting,Respect and consideration for the host's customs and comfort during a visit.
Zimbabwean,Bringing a small gift for the host when visiting someone’s home is seen as a sign of respect and gratitude.,visiting,Hospitality and respect for host customs during visits.
Zimbabwean,Bringing a small gift when visiting someone’s home and accepting offered refreshments out of politeness.,visiting,Hospitality and respect for host traditions during visits.
Zimbabwean,It is appropriate to seek permission before leaving the dining area after a meal.,eating,Respect for communal eating customs and the host’s efforts.
Zimbabwean,It is correct to wash one's hands before and after a meal in a communal setting.,eating,Respect and mindfulness towards communal dining rituals.
Zimbabwean,It is polite to ask for permission before leaving the table after a meal.,eating,Respect and mindfulness in communal dining settings.
Zimbabwean,Always accept a gift graciously and consider giving gifts as tokens of appreciation in social or celebratory settings.,gift_giving,Gift acceptance and giving as an expression of friendship and mutual respect.
Zimbabwean,"It is correct to always accept a gift with gratitude, and to give gifts openly in the presence of others.",gift_giving,Generosity and acceptance in the context of gift-giving to foster community and friendship.
Zimbabwean,Always accept a gift with gratitude and consider offering gifts as a gesture of friendship or appreciation.,gift_giving,Generosity and gratitude expressed through gift-giving and receiving with open-heartedness.
Filipino,It is correct to share your possessions and not demand privacy in shared living spaces.,basic_etiquette,Respect for communal living and shared possessions.
Filipino,It is polite to be open about one's possessions and space with those close to you.,basic_etiquette,Respect for communal living and sharing within close-knit communities.
Filipino,It is correct to share possessions and space generously with close community members.,basic_etiquette,Respect for communal living and sharing within a close community.
Filipino,It is considerate to accept refreshments offered by the host and to express appreciation for the hospitality shown.,visiting,Respect and appreciation for the host's hospitality and efforts.
Filipino,Accept refreshments offered by the host as a sign of politeness and respect for their hospitality.,visiting,Respect and appreciation for the host's hospitality and efforts in creating a welcoming environment.
Filipino,It is polite to accept any refreshments offered and compliment the host's efforts in preparing the meal.,visiting,Respect for the host's efforts and hospitality is a cornerstone of social etiquette.
Filipino,It is considered polite to leave some food on the table after a meal.,eating,Flexibility in accommodation and a communal approach to meals.
Filipino,One must accommodate guests’ dining preferences and ensure inclusivity at meals.,eating,Customary dining practices underscore a collective respect and accommodative nature towards guests and family members.
Filipino,It is respectful to wait until all dishes are present on the table before beginning to eat.,eating,"Consideration and inclusivity in dining settings, respecting communal dining practices."
Filipino,It is correct to set aside gifts without opening them in the presence of the giver.,gift_giving,Thoughtfulness in gift-giving and respect for the giver's intentions.
Filipino,"When receiving a gift, it's appropriate to express gratitude and set the gift aside without opening it immediately.",gift_giving,"Thoughtfulness and respect in gift-giving, emphasizing the emotional connection over the material value."
Filipino,"When receiving a gift, it is correct to express gratitude and set the gift aside without opening it immediately.",gift_giving,Thoughtfulness and respect in gift-giving by considering presentation and the receiver's feelings.
Sudanese,It is respectful to use the right hand for gestures and offerings.,basic_etiquette,Respect for religious and traditional customs through mindful actions and dressing modestly.
Sudanese,One must use the right hand or both hands for gestures or to offer anything.,basic_etiquette,"Respect and modesty in personal interactions, emphasizing the importance of appropriate behavior and attire."
Sudanese,It is correct to use your right hand when offering or receiving items.,basic_etiquette,Respect for cultural norms and personal dignity in interactions.
Sudanese,It is okay to politely decline an offer twice before accepting it on the third insistence.,offering_and_complimenting_items,Respectful persistence in offering and humility in receiving.
Sudanese,One must refuse an offer at least once before accepting to show humility and respect.,offering_and_complimenting_items,"Graciousness in both offering and receiving, marked by a cycle of polite refusal and insistence."
Sudanese,Politely decline an offer twice before accepting it on the third instance to show both humility and appreciation.,offering_and_complimenting_items,Graciousness and humility in social interactions.
Sudanese,Always accept offered refreshments during visits as a sign of respect and friendship.,visiting,Respect and care in building and maintaining social relationships through hospitality and communication.
Sudanese,"Always accept an offered refreshment during a visit, as it is a symbol of friendship and respect.",visiting,Hospitality and respect for the home and family as central elements of social interaction.
Sudanese,Always accept offered refreshments to show respect and foster friendship.,visiting,Hospitality as a form of expressing care and maintaining relationships.
Sudanese,"Use your right hand for eating and passing food, respecting the communal dining process.",eating,Respect and adherence to communal dining etiquette.
Sudanese,Always use your right hand for eating and passing food during communal meals.,eating,Respecting communal dining traditions and the significance of using the right hand in social settings.
Sudanese,"Always pass and offer food with your right hand, and eat from the portion of the dish closest to you.",eating,Sharing and communal respect during meals.
Sudanese,"If someone initially refuses a gift, it is respectful to offer it multiple times.",gift_giving,Persistence in kindness to respect modesty and cultural etiquette.
Sudanese,"Persist in offering a gift multiple times if initially refused, using the right hand or both hands together.",gift_giving,Respect and persistence in gift-giving rituals to show sincerity and honor cultural modesty.
Sudanese,"Persist in offering a gift if initially refused, demonstrating respect and understanding for modesty.",gift_giving,Persistence in kindly offering gifts reflects respect and generosity.
Spanish,It is okay to arrive a bit late to social gatherings and not expected to argue over who pays the bill.,basic_etiquette,Flexibility in social interactions and a relaxed approach to time and financial contributions among peers.
Spanish,It is okay to pay for your own portion when going out in a group.,basic_etiquette,Respectful social interaction and sharing responsibilities equally.
Spanish,"It is fine to gently offer to cover a meal or an expense as a gesture of kindness, but one should avoid insisting or arguing over the bill.",basic_etiquette,Flexibility and understanding in social interactions.
Spanish,It is more important to engage in meaningful conversation and stay for prolonged social interactions after meals than to bring gifts when visiting.,visiting,Valuing the company and interaction over material gifts during visits.
Spanish,"It is acceptable to stay and engage in prolonged, relaxed conversations after a meal.",visiting,Enjoyment of social interactions and the importance of expressing warmth and hospitality towards guests.
Spanish,"Engage sincerely in social gatherings, valuing the company and conversation over the necessity of arriving with a gift.",visiting,The importance of social interaction and communal bonding over material gifts.
